id,First_Name,Last_Name,Gender,Date_Of_Birth,Email,Citizenship,Country_Of_Birth,Language,Year_of_Arrival_USA ,Course _information,Postgraduate_or_Undergraduate ,Type_of_attendance ,Mode_of_attendance ,Course_GPA,Course_Completion_Year,Field_of_Education,Basis _for_admission ,Equity_Data ,Entrance_Score,Location_permanent_homeresidence,highest_education_prior_commencement ,Graduation
1,Phyllis,Jackson,Female,9/18/1994,pjackson0@slate.com,Russia,Russia,English,2010,MSIT,UG,part_time,internal,3.49,2012,Marketing,GRE,Low-Income,610,Russia,UG,Yes
2,Maria,Knight,Female,2/25/1988,mknight1@smh.com.au,Canada,Canada,French,2013,Global MISM,PG,full-time,external,3.1,2015,Public Policy,GRE,Remote Region,635,Canada,PG,Yes
3,Anthony,Pierce,Male,9/2/1993,apierce2@webeden.co.uk,Mongolia,Mongolia,French,2008,Financial Engineering,UG,full-time,multi-modal,3.66,2014,Finance,GRE,Remote Region,695,Mongolia,PG,Yes
4,Joseph,Burton,Male,2/13/1993,jburton3@fema.gov,United States,United States,French,2008,Global MISM,PG,part_time,external,3.08,2014,IT,GRE,Low-Income,777,United States,UG,Yes
5,Lisa,Gray,Female,2/21/1993,lgray4@ezinearticles.com,Egypt,Egypt,Mandarin,2008,MSIT,UG,full-time,external,3.5,2008,Business,GMAT,Disability,687,Egypt,UG,Yes
6,Kelly,Cooper,Female,10/17/1992,kcooper5@bizjournals.com,Azerbaijan,Azerbaijan,French,2008,MSIT,UG,full-time,internal,3.73,2013,Public Policy,GMAT,Remote Region,704,Azerbaijan,PG,Yes
7,Louis,Stewart,Male,1/19/1988,lstewart6@bloglines.com,Cape Verde,Cape Verde,English,2010,MS in CS,PG,full-time,multi-modal,3.74,2009,Computer Science,GMAT,Low-Income,664,Cape Verde,UG,Yes
8,Jane,Brown,Female,1/24/1986,jbrown7@reverbnation.com,Thailand,Thailand,Mandarin,2009,Global MISM,UG,part_time,internal,3.84,2015,Computer Science,GRE,Remote Region,667,Thailand,PG,Yes
9,William,Ruiz,Male,5/22/1981,wruiz8@bloglovin.com,France,France,French,2014,Global MISM,UG,part_time,multi-modal,3.94,2012,Computer Science,GRE,Low-Income,782,France,PG,Yes
10,Sharon,Matthews,Female,1/24/1983,smatthews9@epa.gov,Peru,Peru,French,2008,Global MISM,UG,part_time,external,3,2014,Business,GMAT,Disability,603,Peru,PG,Yes
11,Benjamin,Alvarez,Male,1/16/1988,balvareza@ebay.co.uk,Brazil,Brazil,Mandarin,2013,Global MISM,UG,part_time,internal,3.56,2015,Computer Science,SAT,Low-Income,764,Brazil,UG,Yes
12,Beverly,Gonzalez,Female,7/30/1986,bgonzalezb@hud.gov,Russia,Russia,English,2014,MSIT,UG,part_time,internal,3.55,2010,IT,GRE,Disability,777,Russia,PG,Yes
13,Brian,Larson,Male,6/15/1984,blarsonc@examiner.com,Indonesia,Indonesia,German,2015,MISM,PG,full-time,internal,3.34,2014,IT,GMAT,Low-Income,793,Indonesia,PG,Yes
14,Ann,Pierce,Female,12/6/1988,apierced@google.com.hk,Montenegro,Montenegro,Mandarin,2007,MBA,UG,full-time,multi-modal,3.52,2011,Finance,SAT,Remote Region,606,Montenegro,PG,Yes
15,Jacqueline,Mcdonald,Female,10/2/1988,jmcdonalde@soundcloud.com,Philippines,Philippines,German,2012,MS in CS,UG,full-time,external,3.31,2015,Finance,GRE,Disability,765,Philippines,PG,Yes
16,Terry,Perry,Male,5/7/1990,tperryf@auda.org.au,Colombia,Colombia,English,2008,MSIT,PG,full-time,internal,3.59,2015,IT,GRE,Remote Region,748,Colombia,UG,Yes
17,Jason,Wallace,Male,4/26/1991,jwallaceg@army.mil,Indonesia,Indonesia,English,2010,MSIPPM,UG,part_time,internal,3.05,2010,Finance,GMAT,Disability,734,Indonesia,PG,Yes
18,Beverly,Stevens,Female,7/31/1991,bstevensh@sun.com,Iran,Iran,English,2013,MISM,PG,full-time,internal,3.49,2007,IT,GMAT,Disability,629,Iran,UG,Yes
19,Ruby,Weaver,Female,1/14/1987,rweaveri@ocn.ne.jp,China,China,French,2013,MBA,UG,full-time,multi-modal,3.52,2013,IT,GRE,Low-Income,749,China,PG,Yes
20,Jesse,Day,Male,12/19/1986,jdayj@uol.com.br,Sweden,Sweden,English,2008,Financial Engineering,UG,full-time,external,3.98,2010,Public Policy,GRE,Low-Income,707,Sweden,UG,Yes
21,Jeffrey,Olson,Male,12/7/1988,jolsonk@example.com,Cuba,Cuba,Mandarin,2014,MSIPPM,PG,full-time,internal,3.91,2009,Public Policy,GRE,Low-Income,631,Cuba,PG,No
22,Justin,Stone,Male,2/15/1984,jstonel@mapquest.com,Macedonia,Macedonia,French,2009,MS in CS,PG,full-time,internal,3.1,2011,Public Policy,GRE,Disability,657,Macedonia,PG,No
23,Richard,Matthews,Male,7/19/1985,rmatthewsm@cnet.com,China,China,English,2011,Financial Engineering,PG,full-time,multi-modal,3.06,2009,IT,SAT,Disability,662,China,PG,No
24,Cheryl,Bailey,Female,8/18/1982,cbaileyn@google.de,China,China,English,2007,MS in CS,UG,part_time,multi-modal,3.71,2011,Business,SAT,Low-Income,704,China,PG,No
25,Judith,Cruz,Female,1/20/1991,jcruzo@usatoday.com,Luxembourg,Luxembourg,Mandarin,2012,MBA,UG,full-time,internal,3.73,2015,Public Policy,GMAT,Low-Income,640,Luxembourg,UG,No
26,Samuel,Pierce,Male,5/7/1985,spiercep@goo.ne.jp,China,China,German,2008,MSIPPM,UG,full-time,internal,3.01,2010,Marketing,GMAT,Disability,706,China,PG,No
27,Jonathan,Gomez,Male,5/17/1993,jgomezq@cisco.com,Russia,Russia,German,2008,Global MISM,UG,part_time,internal,3.55,2009,Public Policy,GRE,Low-Income,622,Russia,PG,No
28,Carolyn,Chapman,Female,9/26/1982,cchapmanr@github.com,Brazil,Brazil,English,2015,MBA,UG,full-time,internal,3.57,2008,Finance,GRE,Low-Income,774,Brazil,UG,No
29,Lori,Howell,Female,8/28/1991,lhowells@bizjournals.com,Canada,Canada,French,2008,MS in CS,PG,part_time,multi-modal,3.67,2010,Computer Science,SAT,Disability,721,Canada,UG,No
30,Debra,Vasquez,Female,2/18/1982,dvasquezt@sciencedaily.com,Russia,Russia,German,2013,MISM,UG,part_time,internal,3.49,2013,Public Policy,GMAT,Remote Region,707,Russia,UG,
31,Kelly,Webb,Female,5/29/1992,kwebbu@msu.edu,South Africa,South Africa,French,2014,Financial Engineering,UG,part_time,multi-modal,3.15,2015,Computer Science,GMAT,Disability,635,South Africa,PG,
32,Carl,Jenkins,Male,3/30/1992,cjenkinsv@imdb.com,Honduras,Honduras,Mandarin,2011,MISM,UG,part_time,external,3.15,2007,Public Policy,SAT,Low-Income,740,Honduras,PG,
33,Douglas,Matthews,Male,8/25/1989,dmatthewsw@vkontakte.ru,Brazil,Brazil,German,2008,MSIPPM,UG,full-time,internal,3.63,2010,Marketing,SAT,Remote Region,666,Brazil,PG,
34,Craig,West,Male,10/29/1981,cwestx@bbb.org,Indonesia,Indonesia,English,2012,MSIT,PG,full-time,external,3.27,2008,Marketing,GMAT,Disability,733,Indonesia,UG,
35,Denise,Woods,Female,1/30/1986,dwoodsy@ucoz.ru,Portugal,Portugal,German,2014,MSIT,PG,full-time,external,3.06,2014,IT,GMAT,Remote Region,787,Portugal,PG,
36,Cheryl,Little,Female,8/28/1985,clittlez@google.co.uk,Angola,Angola,Mandarin,2013,MSIPPM,UG,full-time,external,3.05,2010,IT,GRE,Low-Income,620,Angola,PG,
37,Louis,Kelley,Male,11/10/1987,lkelley10@buzzfeed.com,United States,United States,French,2012,MBA,PG,full-time,external,3.03,2012,Computer Science,GMAT,Disability,758,United States,PG,
38,Debra,Evans,Female,3/30/1989,devans11@japanpost.jp,Indonesia,Indonesia,English,2010,MSIT,UG,full-time,external,3,2012,Computer Science,GMAT,Remote Region,717,Indonesia,UG,
39,Sharon,Wheeler,Female,1/17/1984,swheeler12@unicef.org,China,China,English,2007,MS in CS,PG,part_time,multi-modal,3.58,2008,Marketing,SAT,Low-Income,690,China,UG,
40,Eric,Patterson,Male,4/5/1993,epatterson13@whitehouse.gov,China,China,English,2010,MS in CS,PG,full-time,multi-modal,3.58,2008,Business,GRE,Remote Region,646,China,PG,
41,Gary,King,Male,6/3/1984,gking14@instagram.com,Pakistan,Pakistan,German,2013,Global MISM,UG,part_time,internal,3.9,2011,IT,SAT,Remote Region,794,Pakistan,PG,
