@relation MOCK_DATA-train

@attribute id numeric
@attribute First_Name {Phyllis,Maria,Anthony,Joseph,Lisa,Kelly,Louis,Jane,William,Sharon,Benjamin,Beverly,Brian,Ann,Jacqueline,Terry,Jason,Ruby,Jesse,Jeffrey,Justin,Richard,Cheryl,Judith,Samuel,Jonathan,Carolyn,Lori,Debra,Carl,Douglas,Craig,Denise,Eric,Gary,Henry,Mildred,Sean,Katherine,Roger,Jack,Nicole,Clarence,Raymond,Scott,Kathy,Barbara,Harry,Julie,Janice,Irene,Albert,Catherine,Joyce,Paula,Alan,Carol,Lawrence,Angela,Helen,Gerald,Eugene,Laura,Bruce,Robin,Joe,Julia,Mark,Susan,Jennifer,Janet,Alice,Larry,Kathleen,Chris,Adam,Stephanie,Gregory,Diane,Aaron,Marie,Christine,Daniel,George,Karen,Paul,Betty,Sandra,Donna,Tina,Patrick,Cynthia,Brenda,Sara,David,Fred,Kimberly,Lillian,Juan,Philip,Charles,Ashley,Edward,Emily,Arthur,Amy,Tammy,Bonnie,Stephen,Ralph,Rose,Victor,Jessica,Kenneth,Antonio,Jeremy,Willie,Kevin}
@attribute Last_Name {Jackson,Knight,Pierce,Burton,Gray,Cooper,Stewart,Brown,Ruiz,Matthews,Alvarez,Gonzalez,Larson,Mcdonald,Perry,Wallace,Stevens,Weaver,Day,Olson,Stone,Bailey,Cruz,Gomez,Chapman,Howell,Vasquez,Webb,Jenkins,West,Woods,Little,Kelley,Evans,Wheeler,Patterson,King,Dixon,Phillips,Mitchell,Jordan,Black,Reid,Simpson,Mendoza,Murphy,Nguyen,Bowman,Sullivan,Cox,Carpenter,Ward,Castillo,Reynolds,Wood,Fields,Howard,Stanley,Garrett,Hart,Ellis,Nelson,Morrison,Lawson,Coleman,Tucker,Wagner,Rice,Smith,Owens,Berry,Mccoy,Morgan,Wilson,Cole,Banks,Dean,Carr,Ryan,Russell,Andrews,Gardner,Medina,Greene,Young,Mills,Dunn,Palmer,Moreno,Cunningham,Freeman,Mason,Fox,White,Hawkins,Hanson,Harvey,Welch,Perez,Foster,Schmidt,Gonzales,Harper,Parker,Gibson,Lynch,Kennedy,Ramos,Taylor,George,Hunter,Morales,Gutierrez,Daniels,Henry,Williams,Collins,Lopez,Williamson,Ramirez,Turner,Thompson,Austin,Scott,Murray,Hunt,Richardson,Shaw,Lee,Jones,Martin,Willis,Jacobs,Ortiz}
@attribute Gender {Female,Male}
@attribute Date_Of_Birth {9/18/1994,2/25/1988,9/2/1993,2/13/1993,2/21/1993,10/17/1992,1/19/1988,1/24/1986,5/22/1981,1/24/1983,1/16/1988,7/30/1986,6/15/1984,12/6/1988,10/2/1988,5/7/1990,4/26/1991,7/31/1991,1/14/1987,12/19/1986,12/7/1988,2/15/1984,7/19/1985,8/18/1982,1/20/1991,5/7/1985,5/17/1993,9/26/1982,8/28/1991,2/18/1982,5/29/1992,3/30/1992,8/25/1989,10/29/1981,1/30/1986,8/28/1985,11/10/1987,3/30/1989,1/17/1984,4/5/1993,6/3/1984,6/28/1985,3/15/1993,10/17/1985,11/21/1986,12/21/1993,5/11/1990,3/15/1984,11/11/1987,12/7/1991,10/22/1985,7/31/1988,8/28/1994,6/26/1986,4/6/1981,10/13/1982,8/25/1987,12/31/1982,11/2/1988,10/29/1989,11/19/1993,8/17/1990,4/19/1981,3/17/1994,7/11/1993,5/29/1981,2/4/1991,8/1/1990,11/1/1987,3/24/1991,11/29/1986,2/20/1989,3/4/1994,11/16/1985,3/15/1981,7/6/1983,2/17/1991,8/10/1988,10/24/1985,11/29/1989,4/29/1988,5/17/1986,5/20/1986,9/29/1991,1/31/1981,12/3/1993,2/19/1982,9/30/1993,5/29/1983,12/25/1986,9/26/1988,12/23/1984,6/4/1988,10/11/1989,2/2/1986,1/5/1982,4/22/1990,7/17/1987,2/17/1983,2/17/1989,1/23/1981,10/22/1983,12/26/1990,3/31/1991,3/18/1993,4/6/1986,8/30/1984,4/15/1984,6/7/1982,6/16/1981,4/24/1982,12/13/1987,8/18/1991,4/18/1981,4/27/1981,2/11/1982,5/3/1984,6/21/1992,3/15/1992,1/12/1987,12/12/1983,4/26/1990,5/13/1987,10/20/1986,8/29/1983,7/12/1987,7/14/1988,3/2/1982,6/1/1982,11/13/1987,8/23/1993,6/29/1993,5/31/1991,9/20/1992,4/21/1986,2/4/1988,1/1/1987,4/1/1984,10/28/1992,6/19/1984,4/3/1989,10/17/1988,8/2/1987,1/11/1994,9/28/1989,10/26/1984,8/19/1986,5/13/1986,6/2/1985,12/9/1985,12/3/1989,3/23/1984,1/10/1988,7/9/1990,4/1/1991,4/14/1981,1/31/1991,7/21/1987,11/3/1983,4/28/1990,5/12/1988,12/12/1993,4/5/1984,8/9/1992,6/12/1984,6/11/1985,1/22/1990,3/12/1983,9/9/1983,3/17/1985,7/6/1993,3/30/1987,7/20/1988,3/6/1993,11/30/1988,5/2/1981,12/5/1987,4/4/1989,1/6/1981,10/11/1983,3/22/1987,9/20/1983,5/20/1993,5/16/1988,3/7/1984,12/4/1984,9/27/1992,3/22/1982,12/23/1983,11/8/1988,3/7/1987,3/2/1993,11/27/1984,2/24/1989,12/9/1984,7/7/1989}
@attribute Email {pjackson0@slate.com,mknight1@smh.com.au,apierce2@webeden.co.uk,jburton3@fema.gov,lgray4@ezinearticles.com,kcooper5@bizjournals.com,lstewart6@bloglines.com,jbrown7@reverbnation.com,wruiz8@bloglovin.com,smatthews9@epa.gov,balvareza@ebay.co.uk,bgonzalezb@hud.gov,blarsonc@examiner.com,apierced@google.com.hk,jmcdonalde@soundcloud.com,tperryf@auda.org.au,jwallaceg@army.mil,bstevensh@sun.com,rweaveri@ocn.ne.jp,jdayj@uol.com.br,jolsonk@example.com,jstonel@mapquest.com,rmatthewsm@cnet.com,cbaileyn@google.de,jcruzo@usatoday.com,spiercep@goo.ne.jp,jgomezq@cisco.com,cchapmanr@github.com,lhowells@bizjournals.com,dvasquezt@sciencedaily.com,kwebbu@msu.edu,cjenkinsv@imdb.com,dmatthewsw@vkontakte.ru,cwestx@bbb.org,dwoodsy@ucoz.ru,clittlez@google.co.uk,lkelley10@buzzfeed.com,devans11@japanpost.jp,swheeler12@unicef.org,epatterson13@whitehouse.gov,gking14@instagram.com,hdixon15@networkadvertising.org,mphillips16@photobucket.com,smitchell17@sfgate.com,hjordan18@goo.ne.jp,kblack19@google.pl,cgray1a@oaic.gov.au,mreid1b@fotki.com,rsimpson1c@photobucket.com,jmendoza1d@parallels.com,jalvarez1e@europa.eu,nmurphy1f@yelp.com,cnguyen1g@canalblog.com,rbowman1h@spiegel.de,ssullivan1i@hexun.com,kcox1j@mapquest.com,bcarpenter1k@skyrock.com,egray1l@biblegateway.com,hward1m@sphinn.com,jcastillo1n@soundcloud.com,jpierce1o@redcross.org,ijackson1p@macromedia.com,areynolds1q@forbes.com,cwood1r@yellowpages.com,lfields1s@1und1.de,dhoward1t@theglobeandmail.com,jstanley1u@uiuc.edu,jevans1v@springer.com,pgarrett1w@tinyurl.com,agomez1x@dedecms.com,chart1y@blogtalkradio.com,rellis1z@hostgator.com,hjenkins20@google.de,lnelson21@gmpg.org,amorrison22@yandex.ru,hlawson23@chronoengine.com,gcoleman24@wikipedia.org,etucker25@w3.org,llawson26@biblegateway.com,jwagner27@house.gov,nrice28@usa.gov,bsmith29@smh.com.au,wknight2a@indiegogo.com,ccastillo2b@shinystat.com,howens2c@mozilla.com,rruiz2d@admin.ch,jberry2e@free.fr,jmatthews2f@google.it,jnelson2g@google.com.br,mmccoy2h@bluehost.com,sphillips2i@google.fr,jstanley2j@livejournal.com,cmorgan2k@ning.com,bwilson2l@icio.us,jwoods2m@dedecms.com,acole2n@joomla.org,jbanks2o@delicious.com,ldean2p@ucoz.ru,ccarr2q@nature.com,lberry2r@weibo.com,kryan2s@skype.com,bsimpson2t@sogou.com,crussell2u@addthis.com,aandrews2v@tamu.edu,bgardner2w@cnn.com,smedina2x@samsung.com,jgreene2y@house.gov,drussell2z@goodreads.com,jyoung30@google.de,gcox31@usgs.gov,dmills32@dedecms.com,adunn33@netlog.com,msimpson34@amazon.co.uk,cdean35@weibo.com,dpalmer36@pen.io,gmoreno37@geocities.com,scunningham38@jiathis.com,kfreeman39@smugmug.com,jmason3a@github.com,pfox3b@joomla.org,jlawson3c@discuz.net,bwhite3d@posterous.com,jhawkins3e@elegantthemes.com,jhanson3f@si.edu,sharvey3g@ca.gov,jmoreno3h@webeden.co.uk,pwelch3i@google.de,bgarrett3j@discovery.com,dperez3k@opera.com,cgarrett3l@smh.com.au,jfox3m@purevolume.com,mfoster3n@eventbrite.com,tschmidt3o@arizona.edu,pwelch3p@privacy.gov.au,cgonzales3q@mayoclinic.com,aharper3r@google.cn,bparker3s@aol.com,pgibson3t@eventbrite.com,afreeman3u@wunderground.com,mlynch3v@dedecms.com,skennedy3w@storify.com,cramos3x@furl.net,dtaylor3y@forbes.com,dreynolds3z@hp.com,ageorge40@gnu.org,ssimpson41@theguardian.com,schapman42@hhs.gov,framos43@tinypic.com,hhunter44@biglobe.ne.jp,ccunningham45@php.net,kmorales46@mapy.cz,egutierrez47@marriott.com,pknight48@discovery.com,lberry49@adobe.com,bdaniels4a@twitter.com,jhenry4b@google.fr,bday4c@dmoz.org,rwilliams4d@freewebs.com,scollins4e@virginia.edu,slopez4f@google.pl,jwilliamson4g@apple.com,pfoster4h@devhub.com,cgibson4i@youtu.be,rramirez4j@adobe.com,cchapman4k@hc360.com,gturner4l@cocolog-nifty.com,agardner4m@lycos.com,rthompson4n@wordpress.com,eaustin4o@rediff.com,sgutierrez4p@multiply.com,edixon4q@redcross.org,bscott4r@feedburner.com,amurray4s@devhub.com,sgray4t@netvibes.com,caustin4u@independent.co.uk,ablack4v@hugedomains.com,jhunt4w@yellowpages.com,trichardson4x@parallels.com,lshaw4y@wikipedia.org,plee4z@jigsy.com,bharper50@state.gov,skelley51@creativecommons.org,rjones52@latimes.com,jphillips53@discovery.com,lhanson54@amazon.com,rmccoy55@oracle.com,aevans56@bloglines.com,rlynch57@ebay.co.uk,kmartin58@ucoz.ru,vwillis59@zdnet.com,jreynolds5a@comsenz.com,afreeman5b@mac.com,kwhite5c@pagesperso-orange.fr,agardner5d@pagesperso-orange.fr,lwilliamson5e@blogtalkradio.com,llee5f@dailymotion.com,jjacobs5g@flavors.me,jschmidt5h@msn.com,wfox5i@thetimes.co.uk,kortiz5j@imdb.com}
@attribute Citizenship {Russia,Canada,Mongolia,'United States',Egypt,Azerbaijan,'Cape Verde',Thailand,France,Peru,Brazil,Indonesia,Montenegro,Philippines,Colombia,Iran,China,Sweden,Cuba,Macedonia,Luxembourg,'South Africa',Honduras,Portugal,Angola,Pakistan,Venezuela,Malta,Nicaragua,Mauritania,'Sri Lanka',Japan,Croatia,Hungary,Guatemala,Bangladesh,'Bosnia and Herzegovina',Ukraine,Turkmenistan,Argentina,Poland,Greece,Malaysia,'Burkina Faso',Kosovo,Slovakia,Mexico,'Czech Republic',Serbia,Tunisia,Nigeria,'United Kingdom','Costa Rica',Cambodia,Slovenia,Vietnam,Lithuania,'Sierra Leone',Barbados,Oman,Swaziland,Yemen,'New Zealand'}
@attribute Country_Of_Birth {Russia,Canada,Mongolia,'United States',Egypt,Azerbaijan,'Cape Verde',Thailand,France,Peru,Brazil,Indonesia,Montenegro,Philippines,Colombia,Iran,China,Sweden,Cuba,Macedonia,Luxembourg,'South Africa',Honduras,Portugal,Angola,Pakistan,Venezuela,Malta,Nicaragua,Mauritania,'Sri Lanka',Japan,Croatia,Hungary,Guatemala,Bangladesh,'Bosnia and Herzegovina',Ukraine,Turkmenistan,Argentina,Poland,Greece,Malaysia,'Burkina Faso',Kosovo,Slovakia,Mexico,'Czech Republic',Serbia,Tunisia,Nigeria,'United Kingdom','Costa Rica',Cambodia,Slovenia,Vietnam,Lithuania,'Sierra Leone',Barbados,Oman,Swaziland,Yemen,'New Zealand'}
@attribute Language {English,French,Mandarin,German}
@attribute 'Year_of_Arrival_USA ' numeric
@attribute 'Course _information' {MSIT,'Global MISM','Financial Engineering','MS in CS',MISM,MBA,MSIPPM}
@attribute 'Postgraduate_or_Undergraduate ' {UG,PG}
@attribute 'Type_of_attendance ' {part_time,full-time}
@attribute 'Mode_of_attendance ' {internal,external,multi-modal}
@attribute Course_GPA numeric
@attribute Course_Completion_Year numeric
@attribute Field_of_Education {Marketing,'Public Policy',Finance,IT,Business,'Computer Science'}
@attribute 'Basis _for_admission ' {GRE,GMAT,SAT}
@attribute 'Equity_Data ' {Low-Income,'Remote Region',Disability}
@attribute Entrance_Score numeric
@attribute Location_permanent_homeresidence {Russia,Canada,Mongolia,'United States',Egypt,Azerbaijan,'Cape Verde',Thailand,France,Peru,Brazil,Indonesia,Montenegro,Philippines,Colombia,Iran,China,Sweden,Cuba,Macedonia,Luxembourg,'South Africa',Honduras,Portugal,Angola,Pakistan,Venezuela,Malta,Nicaragua,Mauritania,'Sri Lanka',Japan,Croatia,Hungary,Guatemala,Bangladesh,'Bosnia and Herzegovina',Ukraine,Turkmenistan,Argentina,Poland,Greece,Malaysia,'Burkina Faso',Kosovo,Slovakia,Mexico,'Czech Republic',Serbia,Tunisia,Nigeria,'United Kingdom','Costa Rica',Cambodia,Slovenia,Vietnam,Lithuania,'Sierra Leone',Barbados,Oman,Swaziland,Yemen,'New Zealand'}
@attribute 'highest_education_prior_commencement ' {UG,PG}
@attribute Graduation {Yes,No}

@data
1,Phyllis,Jackson,Female,9/18/1994,pjackson0@slate.com,Russia,Russia,English,2010,MSIT,UG,part_time,internal,3.49,2012,Marketing,GRE,Low-Income,610,Russia,UG,Yes
2,Maria,Knight,Female,2/25/1988,mknight1@smh.com.au,Canada,Canada,French,2013,'Global MISM',PG,full-time,external,3.1,2015,'Public Policy',GRE,'Remote Region',635,Canada,PG,Yes
3,Anthony,Pierce,Male,9/2/1993,apierce2@webeden.co.uk,Mongolia,Mongolia,French,2008,'Financial Engineering',UG,full-time,multi-modal,3.66,2014,Finance,GRE,'Remote Region',695,Mongolia,PG,Yes
4,Joseph,Burton,Male,2/13/1993,jburton3@fema.gov,'United States','United States',French,2008,'Global MISM',PG,part_time,external,3.08,2014,IT,GRE,Low-Income,777,'United States',UG,Yes
5,Lisa,Gray,Female,2/21/1993,lgray4@ezinearticles.com,Egypt,Egypt,Mandarin,2008,MSIT,UG,full-time,external,3.5,2008,Business,GMAT,Disability,687,Egypt,UG,Yes
6,Kelly,Cooper,Female,10/17/1992,kcooper5@bizjournals.com,Azerbaijan,Azerbaijan,French,2008,MSIT,UG,full-time,internal,3.73,2013,'Public Policy',GMAT,'Remote Region',704,Azerbaijan,PG,Yes
7,Louis,Stewart,Male,1/19/1988,lstewart6@bloglines.com,'Cape Verde','Cape Verde',English,2010,'MS in CS',PG,full-time,multi-modal,3.74,2009,'Computer Science',GMAT,Low-Income,664,'Cape Verde',UG,Yes
8,Jane,Brown,Female,1/24/1986,jbrown7@reverbnation.com,Thailand,Thailand,Mandarin,2009,'Global MISM',UG,part_time,internal,3.84,2015,'Computer Science',GRE,'Remote Region',667,Thailand,PG,Yes
9,William,Ruiz,Male,5/22/1981,wruiz8@bloglovin.com,France,France,French,2014,'Global MISM',UG,part_time,multi-modal,3.94,2012,'Computer Science',GRE,Low-Income,782,France,PG,Yes
10,Sharon,Matthews,Female,1/24/1983,smatthews9@epa.gov,Peru,Peru,French,2008,'Global MISM',UG,part_time,external,3,2014,Business,GMAT,Disability,603,Peru,PG,Yes
11,Benjamin,Alvarez,Male,1/16/1988,balvareza@ebay.co.uk,Brazil,Brazil,Mandarin,2013,'Global MISM',UG,part_time,internal,3.56,2015,'Computer Science',SAT,Low-Income,764,Brazil,UG,Yes
12,Beverly,Gonzalez,Female,7/30/1986,bgonzalezb@hud.gov,Russia,Russia,English,2014,MSIT,UG,part_time,internal,3.55,2010,IT,GRE,Disability,777,Russia,PG,Yes
13,Brian,Larson,Male,6/15/1984,blarsonc@examiner.com,Indonesia,Indonesia,German,2015,MISM,PG,full-time,internal,3.34,2014,IT,GMAT,Low-Income,793,Indonesia,PG,Yes
14,Ann,Pierce,Female,12/6/1988,apierced@google.com.hk,Montenegro,Montenegro,Mandarin,2007,MBA,UG,full-time,multi-modal,3.52,2011,Finance,SAT,'Remote Region',606,Montenegro,PG,Yes
15,Jacqueline,Mcdonald,Female,10/2/1988,jmcdonalde@soundcloud.com,Philippines,Philippines,German,2012,'MS in CS',UG,full-time,external,3.31,2015,Finance,GRE,Disability,765,Philippines,PG,Yes
16,Terry,Perry,Male,5/7/1990,tperryf@auda.org.au,Colombia,Colombia,English,2008,MSIT,PG,full-time,internal,3.59,2015,IT,GRE,'Remote Region',748,Colombia,UG,Yes
17,Jason,Wallace,Male,4/26/1991,jwallaceg@army.mil,Indonesia,Indonesia,English,2010,MSIPPM,UG,part_time,internal,3.05,2010,Finance,GMAT,Disability,734,Indonesia,PG,Yes
18,Beverly,Stevens,Female,7/31/1991,bstevensh@sun.com,Iran,Iran,English,2013,MISM,PG,full-time,internal,3.49,2007,IT,GMAT,Disability,629,Iran,UG,Yes
19,Ruby,Weaver,Female,1/14/1987,rweaveri@ocn.ne.jp,China,China,French,2013,MBA,UG,full-time,multi-modal,3.52,2013,IT,GRE,Low-Income,749,China,PG,Yes
20,Jesse,Day,Male,12/19/1986,jdayj@uol.com.br,Sweden,Sweden,English,2008,'Financial Engineering',UG,full-time,external,3.98,2010,'Public Policy',GRE,Low-Income,707,Sweden,UG,Yes
21,Jeffrey,Olson,Male,12/7/1988,jolsonk@example.com,Cuba,Cuba,Mandarin,2014,MSIPPM,PG,full-time,internal,3.91,2009,'Public Policy',GRE,Low-Income,631,Cuba,PG,Yes
22,Justin,Stone,Male,2/15/1984,jstonel@mapquest.com,Macedonia,Macedonia,French,2009,'MS in CS',PG,full-time,internal,3.1,2011,'Public Policy',GRE,Disability,657,Macedonia,PG,Yes
23,Richard,Matthews,Male,7/19/1985,rmatthewsm@cnet.com,China,China,English,2011,'Financial Engineering',PG,full-time,multi-modal,3.06,2009,IT,SAT,Disability,662,China,PG,Yes
24,Cheryl,Bailey,Female,8/18/1982,cbaileyn@google.de,China,China,English,2007,'MS in CS',UG,part_time,multi-modal,3.71,2011,Business,SAT,Low-Income,704,China,PG,Yes
25,Judith,Cruz,Female,1/20/1991,jcruzo@usatoday.com,Luxembourg,Luxembourg,Mandarin,2012,MBA,UG,full-time,internal,3.73,2015,'Public Policy',GMAT,Low-Income,640,Luxembourg,UG,Yes
26,Samuel,Pierce,Male,5/7/1985,spiercep@goo.ne.jp,China,China,German,2008,MSIPPM,UG,full-time,internal,3.01,2010,Marketing,GMAT,Disability,706,China,PG,Yes
27,Jonathan,Gomez,Male,5/17/1993,jgomezq@cisco.com,Russia,Russia,German,2008,'Global MISM',UG,part_time,internal,3.55,2009,'Public Policy',GRE,Low-Income,622,Russia,PG,Yes
28,Carolyn,Chapman,Female,9/26/1982,cchapmanr@github.com,Brazil,Brazil,English,2015,MBA,UG,full-time,internal,3.57,2008,Finance,GRE,Low-Income,774,Brazil,UG,Yes
29,Lori,Howell,Female,8/28/1991,lhowells@bizjournals.com,Canada,Canada,French,2008,'MS in CS',PG,part_time,multi-modal,3.67,2010,'Computer Science',SAT,Disability,721,Canada,UG,Yes
30,Debra,Vasquez,Female,2/18/1982,dvasquezt@sciencedaily.com,Russia,Russia,German,2013,MISM,UG,part_time,internal,3.49,2013,'Public Policy',GMAT,'Remote Region',707,Russia,UG,Yes
31,Kelly,Webb,Female,5/29/1992,kwebbu@msu.edu,'South Africa','South Africa',French,2014,'Financial Engineering',UG,part_time,multi-modal,3.15,2015,'Computer Science',GMAT,Disability,635,'South Africa',PG,Yes
32,Carl,Jenkins,Male,3/30/1992,cjenkinsv@imdb.com,Honduras,Honduras,Mandarin,2011,MISM,UG,part_time,external,3.15,2007,'Public Policy',SAT,Low-Income,740,Honduras,PG,Yes
33,Douglas,Matthews,Male,8/25/1989,dmatthewsw@vkontakte.ru,Brazil,Brazil,German,2008,MSIPPM,UG,full-time,internal,3.63,2010,Marketing,SAT,'Remote Region',666,Brazil,PG,Yes
34,Craig,West,Male,10/29/1981,cwestx@bbb.org,Indonesia,Indonesia,English,2012,MSIT,PG,full-time,external,3.27,2008,Marketing,GMAT,Disability,733,Indonesia,UG,Yes
35,Denise,Woods,Female,1/30/1986,dwoodsy@ucoz.ru,Portugal,Portugal,German,2014,MSIT,PG,full-time,external,3.06,2014,IT,GMAT,'Remote Region',787,Portugal,PG,Yes
36,Cheryl,Little,Female,8/28/1985,clittlez@google.co.uk,Angola,Angola,Mandarin,2013,MSIPPM,UG,full-time,external,3.05,2010,IT,GRE,Low-Income,620,Angola,PG,Yes
37,Louis,Kelley,Male,11/10/1987,lkelley10@buzzfeed.com,'United States','United States',French,2012,MBA,PG,full-time,external,3.03,2012,'Computer Science',GMAT,Disability,758,'United States',PG,Yes
38,Debra,Evans,Female,3/30/1989,devans11@japanpost.jp,Indonesia,Indonesia,English,2010,MSIT,UG,full-time,external,3,2012,'Computer Science',GMAT,'Remote Region',717,Indonesia,UG,Yes
39,Sharon,Wheeler,Female,1/17/1984,swheeler12@unicef.org,China,China,English,2007,'MS in CS',PG,part_time,multi-modal,3.58,2008,Marketing,SAT,Low-Income,690,China,UG,Yes
40,Eric,Patterson,Male,4/5/1993,epatterson13@whitehouse.gov,China,China,English,2010,'MS in CS',PG,full-time,multi-modal,3.58,2008,Business,GRE,'Remote Region',646,China,PG,Yes
41,Gary,King,Male,6/3/1984,gking14@instagram.com,Pakistan,Pakistan,German,2013,'Global MISM',UG,part_time,internal,3.9,2011,IT,SAT,'Remote Region',794,Pakistan,PG,Yes
42,Henry,Dixon,Male,6/28/1985,hdixon15@networkadvertising.org,Venezuela,Venezuela,English,2007,'MS in CS',PG,part_time,internal,3.6,2013,IT,SAT,'Remote Region',678,Venezuela,UG,Yes
43,Mildred,Phillips,Female,3/15/1993,mphillips16@photobucket.com,'South Africa','South Africa',Mandarin,2013,MBA,UG,part_time,internal,3.96,2010,IT,GRE,Low-Income,723,'South Africa',PG,Yes
44,Sean,Mitchell,Male,10/17/1985,smitchell17@sfgate.com,Malta,Malta,German,2011,MISM,UG,part_time,internal,3.66,2008,'Computer Science',GRE,'Remote Region',706,Malta,UG,Yes
45,Henry,Jordan,Male,11/21/1986,hjordan18@goo.ne.jp,China,China,French,2013,'Financial Engineering',UG,part_time,multi-modal,3.33,2009,IT,SAT,Low-Income,651,China,UG,Yes
46,Katherine,Black,Female,12/21/1993,kblack19@google.pl,Portugal,Portugal,German,2012,'Global MISM',PG,part_time,multi-modal,3.21,2013,Finance,GRE,Disability,653,Portugal,UG,Yes
47,Cheryl,Gray,Female,5/11/1990,cgray1a@oaic.gov.au,Nicaragua,Nicaragua,Mandarin,2013,MSIT,UG,part_time,multi-modal,3.59,2014,IT,GMAT,'Remote Region',722,Nicaragua,UG,Yes
48,Maria,Reid,Female,3/15/1984,mreid1b@fotki.com,Russia,Russia,French,2007,MBA,PG,part_time,external,3.63,2012,Finance,SAT,Low-Income,646,Russia,PG,Yes
49,Roger,Simpson,Male,11/11/1987,rsimpson1c@photobucket.com,Indonesia,Indonesia,English,2012,MBA,UG,full-time,multi-modal,3.56,2010,'Computer Science',GMAT,Low-Income,654,Indonesia,UG,Yes
50,Jesse,Mendoza,Male,12/7/1991,jmendoza1d@parallels.com,Peru,Peru,French,2011,MSIT,UG,full-time,external,3.43,2015,Business,GRE,Disability,653,Peru,UG,Yes
51,Jack,Alvarez,Male,10/22/1985,jalvarez1e@europa.eu,Mauritania,Mauritania,French,2014,'MS in CS',UG,part_time,external,3.14,2010,IT,GRE,Disability,680,Mauritania,UG,Yes
52,Nicole,Murphy,Female,7/31/1988,nmurphy1f@yelp.com,Indonesia,Indonesia,French,2009,MISM,UG,part_time,internal,3.88,2015,IT,GMAT,'Remote Region',614,Indonesia,PG,Yes
53,Clarence,Nguyen,Male,8/28/1994,cnguyen1g@canalblog.com,Indonesia,Indonesia,Mandarin,2008,MISM,PG,full-time,external,3.4,2013,Business,GMAT,Low-Income,726,Indonesia,PG,Yes
54,Raymond,Bowman,Male,6/26/1986,rbowman1h@spiegel.de,Indonesia,Indonesia,French,2012,MISM,UG,full-time,external,3.77,2013,Marketing,GMAT,Disability,782,Indonesia,UG,Yes
55,Scott,Sullivan,Male,4/6/1981,ssullivan1i@hexun.com,Portugal,Portugal,English,2014,MBA,PG,part_time,external,3.91,2015,Marketing,SAT,Low-Income,620,Portugal,UG,Yes
56,Kathy,Cox,Female,10/13/1982,kcox1j@mapquest.com,China,China,French,2015,MISM,PG,full-time,external,3.08,2014,Business,GMAT,Disability,754,China,PG,Yes
57,Barbara,Carpenter,Female,8/25/1987,bcarpenter1k@skyrock.com,Iran,Iran,Mandarin,2015,MISM,UG,part_time,multi-modal,3.84,2014,'Public Policy',GMAT,Low-Income,680,Iran,UG,Yes
58,Eric,Gray,Male,12/31/1982,egray1l@biblegateway.com,'Sri Lanka','Sri Lanka',German,2009,'Financial Engineering',UG,part_time,external,3.2,2015,IT,GMAT,Disability,775,'Sri Lanka',PG,Yes
59,Harry,Ward,Male,11/2/1988,hward1m@sphinn.com,Russia,Russia,Mandarin,2009,MSIT,UG,part_time,multi-modal,3.17,2009,Marketing,SAT,Low-Income,727,Russia,UG,Yes
60,Julie,Castillo,Female,10/29/1989,jcastillo1n@soundcloud.com,Philippines,Philippines,French,2009,MSIPPM,PG,part_time,multi-modal,3.35,2009,IT,GMAT,Low-Income,632,Philippines,UG,Yes
61,Janice,Pierce,Female,11/19/1993,jpierce1o@redcross.org,China,China,German,2009,MSIPPM,UG,full-time,multi-modal,3.27,2007,Marketing,GMAT,Low-Income,699,China,UG,Yes
62,Irene,Jackson,Female,8/17/1990,ijackson1p@macromedia.com,Russia,Russia,German,2015,MSIT,UG,full-time,multi-modal,3.28,2010,Marketing,SAT,Disability,745,Russia,PG,Yes
63,Albert,Reynolds,Male,4/19/1981,areynolds1q@forbes.com,Japan,Japan,German,2007,MSIT,UG,part_time,external,3.95,2015,Business,GMAT,'Remote Region',671,Japan,UG,Yes
64,Catherine,Wood,Female,3/17/1994,cwood1r@yellowpages.com,Croatia,Croatia,German,2007,'Financial Engineering',UG,full-time,external,3.85,2014,IT,GMAT,Low-Income,743,Croatia,UG,Yes
65,Louis,Fields,Male,7/11/1993,lfields1s@1und1.de,Philippines,Philippines,German,2014,MSIT,PG,part_time,multi-modal,3.55,2012,'Public Policy',SAT,Disability,690,Philippines,UG,Yes
66,Debra,Howard,Female,5/29/1981,dhoward1t@theglobeandmail.com,China,China,English,2009,'Global MISM',UG,part_time,external,3.7,2011,'Public Policy',GRE,Disability,703,China,PG,Yes
